Wind speed,Cloud cover,Air themperature,Humidity,Duration (For),SourceHeight,Tank Diameter,Tank length,Liquid level,Opening diameter,Chemical,Mesurement Heigth,Wind is from,type of failure,Building,Ground roughtness,Source,Tank Diameter (meters),Tank Type,Stored Themperature,Opening Diameter (inches),Height of the Tank opening,Ground type,Source strength,Leak through,Stored
3.0,8.0,23.0,84.0,34.0,81.18,1.7,4.2,70.0,2.59,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Instantaneous,1.7,vertical,23.0,2.59,0,Concrete,cubic meters,Hole,Liquid
4.0,8.0,20.0,81.0,9.0,90.24,5.5,4.4,82.0,0.82,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Instantaneous,5.5,Horizontal,20.0,0.82,8,Concrete,cubic meters,pipe/valve,Liquid
5.0,5.0,21.0,79.0,35.0,53.04,5.0,3.5,48.0,2.97,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Instantaneous,5.0,Horizontal,21.0,2.97,8,Concrete,cubic meters,pipe/valve,Liquid
3.0,2.0,32.0,83.0,50.0,47.41,5.7,4.9,16.0,2.93,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Continue,5.7,vertical,32.0,2.93,6,Concrete,cubic meters,pipe/valve,Liquid
5.0,6.0,25.0,79.0,16.0,99.2,4.7,0.6,38.0,2.37,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Continue,4.7,Sphere,25.0,2.37,10,Concrete,cubic meters,pipe/valve,Liquid
4.0,5.0,32.0,86.0,23.0,0.96,8.9,1.7,61.0,1.5,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Instantaneous,8.9,vertical,32.0,1.5,10,Concrete,cubic meters,pipe/valve,Liquid
3.0,3.0,19.0,77.0,26.0,69.37,6.5,2.9,96.0,2.08,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Continue,6.5,Horizontal,19.0,2.08,5,Concrete,cubic meters,pipe/valve,Liquid
4.0,4.0,19.0,83.0,41.0,52.12,9.2,8.5,91.0,1.51,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Continue,9.2,Sphere,19.0,1.51,6,Concrete,cubic meters,Hole,Liquid
4.0,6.0,26.0,84.0,47.0,34.24,2.9,5.6,64.0,1.56,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Continue,2.9,vertical,26.0,1.56,4,Concrete,cubic meters,pipe/valve,Liquid
4.0,9.0,30.0,80.0,26.0,11.68,6.5,6.1,83.0,1.57,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Continue,6.5,Sphere,30.0,1.57,3,Concrete,cubic meters,pipe/valve,Liquid
5.0,10.0,27.0,83.0,36.0,23.86,3.8,2.1,66.0,1.02,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Instantaneous,3.8,Horizontal,27.0,1.02,9,Concrete,cubic meters,Hole,Liquid
3.0,5.0,23.0,79.0,60.0,47.03,3.6,9.8,28.0,0.92,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Instantaneous,3.6,Horizontal,23.0,0.92,11,Concrete,cubic meters,pipe/valve,Liquid
4.0,6.0,35.0,83.0,12.0,42.88,1.9,7.9,17.0,1.3,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Continue,1.9,vertical,35.0,1.3,4,Concrete,cubic meters,Hole,Liquid
6.0,1.0,21.0,78.0,7.0,81.73,4.9,1.4,77.0,2.26,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Instantaneous,4.9,Sphere,21.0,2.26,8,Concrete,cubic meters,pipe/valve,Liquid
4.0,6.0,32.0,84.0,11.0,91.99,1.6,5.3,80.0,2.3,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,Urban or forest,Continue,1.6,Horizontal,32.0,2.3,6,Concrete,cubic meters,Hole,Liquid
3.0,9.0,20.0,82.0,43.0,89.71,1.3,3.1,51.0,2.95,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Instantaneous,1.3,Sphere,20.0,2.95,3,Concrete,cubic meters,Hole,Liquid
4.0,6.0,27.0,81.0,19.0,95.42,3.1,4.3,29.0,1.9,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Continue,3.1,vertical,27.0,1.9,2,Concrete,cubic meters,pipe/valve,Liquid
5.0,1.0,20.0,78.0,27.0,31.89,3.9,4.5,79.0,2.82,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Instantaneous,3.9,vertical,20.0,2.82,0,Concrete,cubic meters,pipe/valve,Liquid
4.0,8.0,30.0,82.0,7.0,88.42,8.6,3.8,72.0,2.01,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,Urban or forest,Instantaneous,8.6,vertical,30.0,2.01,6,Concrete,cubic meters,pipe/valve,Liquid
5.0,9.0,21.0,84.0,43.0,97.32,4.4,4.1,76.0,2.53,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Continue,4.4,Horizontal,21.0,2.53,2,Concrete,cubic meters,Hole,Liquid
4.0,2.0,24.0,82.0,57.0,13.65,1.3,6.6,58.0,2.04,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Continue,1.3,Horizontal,24.0,2.04,10,Concrete,cubic meters,pipe/valve,Liquid
5.0,0.0,21.0,81.0,36.0,90.6,6.7,6.2,62.0,1.53,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Instantaneous,6.7,vertical,21.0,1.53,2,Concrete,cubic meters,pipe/valve,Liquid
5.0,6.0,23.0,83.0,59.0,64.25,8.0,1.4,3.0,1.54,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Instantaneous,8.0,Horizontal,23.0,1.54,4,Concrete,cubic meters,Hole,Liquid
5.0,2.0,31.0,78.0,39.0,58.97,6.3,2.3,15.0,2.32,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Continue,6.3,vertical,31.0,2.32,11,Concrete,cubic meters,Hole,Liquid
5.0,2.0,31.0,85.0,33.0,54.84,9.1,3.4,52.0,1.31,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Continue,9.1,Sphere,31.0,1.31,8,Concrete,cubic meters,Hole,Liquid
5.0,9.0,28.0,81.0,27.0,71.28,4.8,9.0,64.0,2.82,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Instantaneous,4.8,vertical,28.0,2.82,0,Concrete,cubic meters,pipe/valve,Liquid
5.0,9.0,29.0,80.0,54.0,39.74,8.9,2.9,25.0,1.99,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Continue,8.9,vertical,29.0,1.99,9,Concrete,cubic meters,Hole,Liquid
6.0,9.0,26.0,86.0,59.0,79.66,8.0,5.1,45.0,2.14,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Continue,8.0,Sphere,26.0,2.14,1,Concrete,cubic meters,Hole,Liquid
5.0,9.0,31.0,78.0,2.0,86.06,9.8,6.2,61.0,0.98,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Continue,9.8,vertical,31.0,0.98,8,Concrete,cubic meters,Hole,Liquid
6.0,10.0,23.0,78.0,27.0,20.76,7.9,9.0,92.0,0.79,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Continue,7.9,Sphere,23.0,0.79,2,Concrete,cubic meters,Hole,Liquid
3.0,0.0,32.0,80.0,32.0,45.54,8.1,3.8,21.0,1.98,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Instantaneous,8.1,vertical,32.0,1.98,10,Concrete,cubic meters,pipe/valve,Liquid
6.0,8.0,30.0,81.0,25.0,14.08,7.1,7.7,63.0,1.3,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Instantaneous,7.1,Sphere,30.0,1.3,7,Concrete,cubic meters,pipe/valve,Liquid
6.0,7.0,23.0,87.0,25.0,80.66,9.5,2.6,54.0,2.72,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,Urban or forest,Continue,9.5,vertical,23.0,2.72,9,Concrete,cubic meters,pipe/valve,Liquid
6.0,10.0,25.0,87.0,54.0,51.27,6.2,2.5,11.0,1.46,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Continue,6.2,vertical,25.0,1.46,9,Concrete,cubic meters,pipe/valve,Liquid
5.0,6.0,19.0,79.0,46.0,28.37,2.4,7.5,55.0,0.99,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Instantaneous,2.4,Horizontal,19.0,0.99,7,Concrete,cubic meters,Hole,Liquid
6.0,3.0,19.0,77.0,29.0,38.39,6.0,3.6,73.0,0.89,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Continue,6.0,vertical,19.0,0.89,4,Concrete,cubic meters,pipe/valve,Liquid
5.0,4.0,32.0,85.0,12.0,67.3,8.7,7.5,5.0,2.34,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Continue,8.7,Horizontal,32.0,2.34,5,Concrete,cubic meters,pipe/valve,Liquid
4.0,5.0,26.0,78.0,40.0,39.54,3.0,7.2,3.0,3.0,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Instantaneous,3.0,Horizontal,26.0,3.0,11,Concrete,cubic meters,pipe/valve,Liquid
5.0,7.0,31.0,80.0,52.0,18.7,3.7,6.5,87.0,2.75,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,Urban or forest,Instantaneous,3.7,Horizontal,31.0,2.75,1,Concrete,cubic meters,Hole,Liquid
6.0,1.0,24.0,85.0,12.0,97.56,9.9,3.8,61.0,1.88,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Continue,9.9,vertical,24.0,1.88,3,Concrete,cubic meters,Hole,Liquid
3.0,5.0,21.0,79.0,46.0,69.15,6.1,2.2,83.0,0.77,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Continue,6.1,Horizontal,21.0,0.77,5,Concrete,cubic meters,Hole,Liquid
4.0,7.0,33.0,80.0,42.0,5.5,4.2,5.2,73.0,2.73,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Instantaneous,4.2,vertical,33.0,2.73,7,Concrete,cubic meters,pipe/valve,Liquid
4.0,10.0,19.0,87.0,3.0,98.67,5.6,4.3,32.0,1.87,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Continue,5.6,Horizontal,19.0,1.87,9,Concrete,cubic meters,Hole,Liquid
4.0,3.0,25.0,83.0,58.0,68.95,3.5,9.4,80.0,2.36,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Instantaneous,3.5,Horizontal,25.0,2.36,7,Concrete,cubic meters,pipe/valve,Liquid
5.0,1.0,27.0,80.0,5.0,11.63,3.1,1.2,27.0,0.85,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Continue,3.1,Horizontal,27.0,0.85,4,Concrete,cubic meters,Hole,Liquid
4.0,1.0,31.0,86.0,6.0,65.01,3.7,9.2,37.0,1.7,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,Urban or forest,Continue,3.7,Sphere,31.0,1.7,5,Concrete,cubic meters,Hole,Liquid
6.0,6.0,34.0,84.0,24.0,34.46,9.4,0.8,4.0,2.88,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Instantaneous,9.4,Sphere,34.0,2.88,6,Concrete,cubic meters,Hole,Liquid
4.0,4.0,33.0,86.0,5.0,64.39,8.1,4.5,35.0,2.39,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Instantaneous,8.1,Horizontal,33.0,2.39,11,Concrete,cubic meters,pipe/valve,Liquid
4.0,4.0,25.0,84.0,40.0,84.82,1.3,3.7,96.0,1.39,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Continue,1.3,Sphere,25.0,1.39,5,Concrete,cubic meters,pipe/valve,Liquid
4.0,5.0,33.0,81.0,24.0,8.09,1.8,1.9,66.0,2.0,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Continue,1.8,Horizontal,33.0,2.0,2,Concrete,cubic meters,pipe/valve,Liquid
5.0,3.0,25.0,78.0,33.0,53.35,3.6,5.5,86.0,1.05,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Instantaneous,3.6,Horizontal,25.0,1.05,0,Concrete,cubic meters,Hole,Liquid
6.0,8.0,21.0,86.0,57.0,59.86,2.2,8.2,53.0,2.58,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Instantaneous,2.2,Sphere,21.0,2.58,5,Concrete,cubic meters,pipe/valve,Liquid
5.0,6.0,28.0,77.0,51.0,52.64,3.9,4.4,81.0,0.86,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Continue,3.9,vertical,28.0,0.86,1,Concrete,cubic meters,Hole,Liquid
5.0,9.0,28.0,86.0,37.0,46.67,2.4,3.5,87.0,2.92,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Instantaneous,2.4,Horizontal,28.0,2.92,9,Concrete,cubic meters,Hole,Liquid
5.0,0.0,25.0,84.0,13.0,70.41,3.2,0.8,51.0,2.48,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Continue,3.2,vertical,25.0,2.48,11,Concrete,cubic meters,Hole,Liquid
5.0,6.0,35.0,77.0,56.0,44.79,1.8,8.4,59.0,1.11,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Instantaneous,1.8,Horizontal,35.0,1.11,9,Concrete,cubic meters,Hole,Liquid
6.0,0.0,23.0,82.0,39.0,72.94,2.4,2.4,31.0,0.8,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,Urban or forest,Continue,2.4,vertical,23.0,0.8,5,Concrete,cubic meters,pipe/valve,Liquid
6.0,0.0,34.0,79.0,54.0,18.3,9.7,9.3,54.0,0.95,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Instantaneous,9.7,vertical,34.0,0.95,6,Concrete,cubic meters,Hole,Liquid
5.0,9.0,22.0,78.0,18.0,78.25,6.2,2.8,48.0,0.94,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Instantaneous,6.2,Horizontal,22.0,0.94,2,Concrete,cubic meters,pipe/valve,Liquid
5.0,4.0,34.0,77.0,48.0,17.59,4.9,4.8,11.0,1.92,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Continue,4.9,Horizontal,34.0,1.92,3,Concrete,cubic meters,pipe/valve,Liquid
5.0,3.0,25.0,81.0,27.0,32.98,9.4,6.7,23.0,1.81,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,Urban or forest,Continue,9.4,Sphere,25.0,1.81,8,Concrete,cubic meters,pipe/valve,Liquid
4.0,2.0,33.0,83.0,52.0,57.07,5.1,4.2,68.0,1.74,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Instantaneous,5.1,vertical,33.0,1.74,0,Concrete,cubic meters,Hole,Liquid
4.0,5.0,20.0,83.0,55.0,47.9,8.2,6.2,62.0,2.78,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Continue,8.2,vertical,20.0,2.78,6,Concrete,cubic meters,pipe/valve,Liquid
3.0,5.0,21.0,82.0,2.0,57.82,3.9,3.1,46.0,2.33,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Instantaneous,3.9,Horizontal,21.0,2.33,5,Concrete,cubic meters,pipe/valve,Liquid
3.0,9.0,35.0,79.0,14.0,43.61,2.8,7.1,74.0,1.72,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Instantaneous,2.8,Sphere,35.0,1.72,10,Concrete,cubic meters,pipe/valve,Liquid
4.0,8.0,24.0,80.0,18.0,27.95,7.6,8.7,97.0,1.6,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,Urban or forest,Instantaneous,7.6,vertical,24.0,1.6,4,Concrete,cubic meters,pipe/valve,Liquid
4.0,6.0,21.0,81.0,42.0,61.71,1.0,4.8,85.0,0.87,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,Urban or forest,Instantaneous,1.0,vertical,21.0,0.87,6,Concrete,cubic meters,Hole,Liquid
5.0,5.0,29.0,82.0,37.0,22.21,4.5,8.6,67.0,1.98,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Instantaneous,4.5,Horizontal,29.0,1.98,5,Concrete,cubic meters,pipe/valve,Liquid
5.0,5.0,21.0,83.0,3.0,36.21,0.7,9.4,71.0,2.52,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Continue,0.7,Horizontal,21.0,2.52,7,Concrete,cubic meters,pipe/valve,Liquid
3.0,8.0,20.0,86.0,46.0,32.61,6.9,5.9,93.0,2.52,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Continue,6.9,Sphere,20.0,2.52,7,Concrete,cubic meters,Hole,Liquid
3.0,10.0,28.0,82.0,26.0,4.98,5.9,5.7,59.0,2.28,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Instantaneous,5.9,Horizontal,28.0,2.28,5,Concrete,cubic meters,pipe/valve,Liquid
4.0,2.0,33.0,86.0,40.0,27.51,6.8,0.9,11.0,2.21,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Continue,6.8,vertical,33.0,2.21,10,Concrete,cubic meters,pipe/valve,Liquid
5.0,8.0,20.0,86.0,4.0,23.57,4.3,1.6,50.0,2.96,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Instantaneous,4.3,vertical,20.0,2.96,10,Concrete,cubic meters,pipe/valve,Liquid
4.0,4.0,24.0,80.0,36.0,32.19,6.3,6.5,14.0,2.23,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Instantaneous,6.3,Sphere,24.0,2.23,9,Concrete,cubic meters,pipe/valve,Liquid
4.0,7.0,31.0,79.0,38.0,76.69,4.0,1.0,17.0,2.25,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Continue,4.0,Horizontal,31.0,2.25,1,Concrete,cubic meters,pipe/valve,Liquid
6.0,8.0,32.0,84.0,22.0,71.54,5.3,1.8,69.0,1.91,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Instantaneous,5.3,vertical,32.0,1.91,5,Concrete,cubic meters,Hole,Liquid
4.0,5.0,22.0,84.0,57.0,62.78,7.2,6.0,9.0,1.35,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Instantaneous,7.2,Sphere,22.0,1.35,0,Concrete,cubic meters,pipe/valve,Liquid
3.0,4.0,30.0,78.0,37.0,51.44,2.7,9.2,99.0,2.9,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Continue,2.7,vertical,30.0,2.9,4,Concrete,cubic meters,Hole,Liquid
4.0,9.0,24.0,86.0,18.0,74.59,6.6,3.4,89.0,1.34,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Instantaneous,6.6,Sphere,24.0,1.34,0,Concrete,cubic meters,Hole,Liquid
3.0,5.0,19.0,84.0,6.0,46.6,2.0,9.1,5.0,1.85,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Instantaneous,2.0,Sphere,19.0,1.85,7,Concrete,cubic meters,Hole,Liquid
3.0,4.0,30.0,80.0,38.0,63.68,4.5,4.7,40.0,2.15,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Continue,4.5,Sphere,30.0,2.15,11,Concrete,cubic meters,pipe/valve,Liquid
5.0,9.0,20.0,83.0,56.0,26.67,8.8,3.2,99.0,1.71,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Continue,8.8,Horizontal,20.0,1.71,6,Concrete,cubic meters,pipe/valve,Liquid
5.0,3.0,34.0,87.0,38.0,88.22,7.5,9.3,14.0,1.13,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,Urban or forest,Instantaneous,7.5,Horizontal,34.0,1.13,11,Concrete,cubic meters,pipe/valve,Liquid
5.0,5.0,21.0,85.0,25.0,15.3,6.9,1.0,88.0,2.04,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,Urban or forest,Continue,6.9,Sphere,21.0,2.04,6,Concrete,cubic meters,pipe/valve,Liquid
6.0,8.0,34.0,86.0,43.0,40.18,3.8,3.6,72.0,0.99,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Instantaneous,3.8,vertical,34.0,0.99,6,Concrete,cubic meters,Hole,Liquid
6.0,0.0,24.0,78.0,49.0,8.5,4.5,2.6,77.0,2.1,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Instantaneous,4.5,vertical,24.0,2.1,4,Concrete,cubic meters,pipe/valve,Liquid
5.0,8.0,30.0,82.0,4.0,24.5,8.5,3.0,0.0,2.2,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,Urban or forest,Continue,8.5,Horizontal,30.0,2.2,0,Concrete,cubic meters,pipe/valve,Liquid
4.0,4.0,22.0,78.0,4.0,59.04,7.0,1.2,75.0,1.32,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Continue,7.0,vertical,22.0,1.32,11,Concrete,cubic meters,Hole,Liquid
3.0,7.0,23.0,84.0,42.0,56.02,6.8,5.8,57.0,0.82,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Continue,6.8,Sphere,23.0,0.82,1,Concrete,cubic meters,pipe/valve,Liquid
5.0,5.0,30.0,80.0,55.0,92.48,3.2,7.4,4.0,1.75,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Instantaneous,3.2,Horizontal,30.0,1.75,9,Concrete,cubic meters,pipe/valve,Liquid
5.0,0.0,25.0,79.0,23.0,36.64,5.4,7.6,15.0,2.8,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Instantaneous,5.4,vertical,25.0,2.8,0,Concrete,cubic meters,Hole,Liquid
5.0,9.0,23.0,80.0,50.0,38.96,7.4,4.7,98.0,1.64,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Instantaneous,7.4,vertical,23.0,1.64,4,Concrete,cubic meters,pipe/valve,Liquid
5.0,5.0,33.0,86.0,15.0,10.15,0.5,8.5,7.0,2.43,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Instantaneous,0.5,Sphere,33.0,2.43,8,Concrete,cubic meters,Hole,Liquid
6.0,7.0,32.0,86.0,16.0,26.47,4.3,3.5,45.0,1.17,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Continue,4.3,vertical,32.0,1.17,9,Concrete,cubic meters,Hole,Liquid
3.0,6.0,22.0,84.0,14.0,84.3,5.7,8.8,66.0,1.61,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Instantaneous,5.7,Horizontal,22.0,1.61,3,Concrete,cubic meters,pipe/valve,Liquid
5.0,9.0,25.0,86.0,58.0,15.71,3.7,1.3,4.0,1.22,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Continue,3.7,Sphere,25.0,1.22,11,Concrete,cubic meters,pipe/valve,Liquid
3.0,9.0,29.0,81.0,11.0,87.62,8.4,6.8,77.0,2.07,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Continue,8.4,vertical,29.0,2.07,9,Concrete,cubic meters,pipe/valve,Liquid
3.0,7.0,28.0,85.0,35.0,56.44,9.7,4.9,44.0,2.74,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Continue,9.7,Horizontal,28.0,2.74,1,Concrete,cubic meters,Hole,Liquid
5.0,3.0,33.0,82.0,35.0,85.64,4.4,2.1,63.0,1.97,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Instantaneous,4.4,Sphere,33.0,1.97,10,Concrete,cubic meters,Hole,Liquid
5.0,4.0,33.0,80.0,49.0,88.83,6.6,5.8,72.0,1.19,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,Urban or forest,Instantaneous,6.6,Horizontal,33.0,1.19,6,Concrete,cubic meters,Hole,Liquid
3.0,6.0,20.0,86.0,9.0,11.25,2.8,5.5,23.0,2.98,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Continue,2.8,Horizontal,20.0,2.98,8,Concrete,cubic meters,Hole,Liquid
4.0,4.0,26.0,80.0,26.0,45.91,7.1,7.9,46.0,1.66,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Continue,7.1,Sphere,26.0,1.66,8,Concrete,cubic meters,Hole,Liquid
3.0,3.0,32.0,87.0,55.0,40.74,1.6,8.6,86.0,0.9,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Instantaneous,1.6,Sphere,32.0,0.9,0,Concrete,cubic meters,Hole,Liquid
