Wind speed,Cloud cover,Air themperature,Humidity,Duration (For),SourceHeight,Tank Diameter,Tank length,Liquid level,Opening diameter,Chemical,Mesurement Heigth,Wind is from,Chemical state,Building,Ground roughtness,Source,Tank Diameter (meters),Stored Themperature,Opening Diameter (inches),Height of the Tank opening,Ground type,Source strength,Leak through,Stored
3.0,10.0,28.0,78.0,41.0,22.56,4.4,7.9,86.0,2.99,cyclohexanone,3,NE,cyclohexanone,Single office,Urban or forest,Instantaneous,4.4,28.0,2.99,59,Concrete,cubic meters,pipe/valve,Liquid
3.0,9.0,20.0,78.0,12.0,99.5,6.5,8.7,20.0,2.63,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,6.5,20.0,2.63,7,Concrete,cubic meters,pipe/valve,Liquid
5.0,6.0,22.0,80.0,3.0,99.11,4.2,8.9,89.0,1.42,cyclohexanone,3,ENE,cyclohexanone,Single office,Urban or forest,Continue,4.2,22.0,1.42,44,Concrete,cubic meters,pipe/valve,Liquid
6.0,7.0,24.0,86.0,59.0,48.38,5.2,6.4,43.0,1.96,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,open country,Continue,5.2,24.0,1.96,27,Concrete,cubic meters,pipe/valve,Liquid
5.0,4.0,34.0,78.0,52.0,91.66,8.1,7.8,70.0,2.93,cyclohexanone,3,ENE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,8.1,34.0,2.93,49,Concrete,cubic meters,pipe/valve,Liquid
5.0,7.0,24.0,85.0,33.0,78.81,7.6,7.1,44.0,1.89,cyclohexanone,3,NE,cyclohexanone,Enclosed office,open country,Continue,7.6,24.0,1.89,41,Concrete,cubic meters,pipe/valve,Liquid
4.0,5.0,33.0,83.0,53.0,87.26,9.8,3.6,60.0,1.8,cyclohexanone,3,ENE,cyclohexanone,Single office,Urban or forest,Continue,9.8,33.0,1.8,17,Concrete,cubic meters,pipe/valve,Liquid
5.0,2.0,32.0,79.0,16.0,21.39,2.3,5.5,83.0,2.24,cyclohexanone,3,NE,cyclohexanone,Enclosed office,open country,Instantaneous,2.3,32.0,2.24,61,Concrete,cubic meters,pipe/valve,Liquid
6.0,10.0,29.0,85.0,22.0,98.72,3.9,9.8,21.0,1.81,cyclohexanone,3,ENE,cyclohexanone,Double storied,open country,Continue,3.9,29.0,1.81,5,Concrete,cubic meters,pipe/valve,Liquid
5.0,7.0,26.0,85.0,3.0,36.9,8.4,9.4,52.0,1.71,cyclohexanone,3,NNE,cyclohexanone,Single office,Urban or forest,Instantaneous,8.4,26.0,1.71,32,Concrete,cubic meters,pipe/valve,Liquid
5.0,3.0,31.0,77.0,42.0,81.65,5.7,8.0,22.0,0.88,cyclohexanone,3,ESE,cyclohexanone,Double storied,Urban or forest,Continue,5.7,31.0,0.88,8,Concrete,cubic meters,Hole,Liquid
3.0,2.0,34.0,78.0,9.0,95.92,5.8,1.8,79.0,1.24,cyclohexanone,3,ENE,cyclohexanone,Single office,Urban or forest,Instantaneous,5.8,34.0,1.24,18,Concrete,cubic meters,Hole,Liquid
6.0,8.0,26.0,81.0,41.0,74.74,2.4,9.0,93.0,1.64,cyclohexanone,3,NE,cyclohexanone,Enclosed office,open country,Continue,2.4,26.0,1.64,64,Concrete,cubic meters,pipe/valve,Liquid
6.0,8.0,30.0,82.0,49.0,53.2,9.4,1.2,87.0,1.76,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,9.4,30.0,1.76,58,Concrete,cubic meters,Hole,Liquid
5.0,1.0,25.0,81.0,50.0,68.51,9.2,1.8,88.0,1.75,cyclohexanone,3,ENE,cyclohexanone,Enclosed office,open country,Continue,9.2,25.0,1.75,7,Concrete,cubic meters,pipe/valve,Liquid
6.0,3.0,22.0,83.0,8.0,76.45,2.7,4.1,8.0,2.42,cyclohexanone,3,ENE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,2.7,22.0,2.42,2,Concrete,cubic meters,pipe/valve,Liquid
4.0,5.0,25.0,80.0,56.0,61.11,5.4,2.0,90.0,2.62,cyclohexanone,3,ENE,cyclohexanone,Single office,open country,Continue,5.4,25.0,2.62,65,Concrete,cubic meters,Hole,Liquid
5.0,6.0,24.0,81.0,23.0,93.07,4.6,5.5,93.0,0.87,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,Urban or forest,Continue,4.6,24.0,0.87,92,Concrete,cubic meters,pipe/valve,Liquid
6.0,1.0,30.0,86.0,7.0,13.02,6.3,4.4,94.0,1.1,cyclohexanone,3,ESE,cyclohexanone,Single office,open country,Continue,6.3,30.0,1.1,35,Concrete,cubic meters,Hole,Liquid
5.0,2.0,19.0,81.0,26.0,74.61,7.5,6.2,51.0,2.67,cyclohexanone,3,ENE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,7.5,19.0,2.67,12,Concrete,cubic meters,pipe/valve,Liquid
4.0,9.0,26.0,82.0,56.0,69.19,1.5,6.7,59.0,2.16,cyclohexanone,3,NNE,cyclohexanone,Enclosed office,open country,Continue,1.5,26.0,2.16,31,Concrete,cubic meters,pipe/valve,Liquid
4.0,2.0,31.0,79.0,4.0,7.95,7.8,4.8,27.0,1.54,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,7.8,31.0,1.54,17,Concrete,cubic meters,pipe/valve,Liquid
5.0,2.0,29.0,79.0,42.0,2.82,4.2,5.1,1.0,0.91,cyclohexanone,3,ENE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,4.2,29.0,0.91,1,Concrete,cubic meters,Hole,Liquid
5.0,6.0,22.0,79.0,50.0,47.58,7.2,7.7,13.0,1.5,cyclohexanone,3,ESE,cyclohexanone,Single office,Urban or forest,Instantaneous,7.2,22.0,1.5,11,Concrete,cubic meters,Hole,Liquid
4.0,2.0,27.0,81.0,35.0,73.67,4.6,7.9,99.0,2.52,cyclohexanone,3,ENE,cyclohexanone,Double storied,Urban or forest,Instantaneous,4.6,27.0,2.52,89,Concrete,cubic meters,Hole,Liquid
5.0,4.0,32.0,78.0,4.0,60.73,5.6,6.3,84.0,1.44,cyclohexanone,3,ESE,cyclohexanone,Double storied,open country,Instantaneous,5.6,32.0,1.44,6,Concrete,cubic meters,pipe/valve,Liquid
5.0,2.0,22.0,79.0,57.0,37.14,5.9,6.6,46.0,1.01,cyclohexanone,3,ENE,cyclohexanone,Single office,Urban or forest,Instantaneous,5.9,22.0,1.01,34,Concrete,cubic meters,pipe/valve,Liquid
5.0,7.0,20.0,85.0,48.0,33.31,1.7,2.6,92.0,1.37,cyclohexanone,3,ENE,cyclohexanone,Double storied,Urban or forest,Continue,1.7,20.0,1.37,22,Concrete,cubic meters,Hole,Liquid
6.0,5.0,30.0,77.0,23.0,20.79,6.6,2.8,76.0,2.53,cyclohexanone,3,NE,cyclohexanone,Single office,open country,Instantaneous,6.6,30.0,2.53,60,Concrete,cubic meters,Hole,Liquid
4.0,8.0,26.0,80.0,28.0,48.85,3.1,3.7,27.0,1.28,cyclohexanone,3,NE,cyclohexanone,Single office,open country,Continue,3.1,26.0,1.28,22,Concrete,cubic meters,pipe/valve,Liquid
6.0,1.0,28.0,87.0,14.0,39.69,8.2,4.6,46.0,2.55,cyclohexanone,3,NE,cyclohexanone,Single office,open country,Continue,8.2,28.0,2.55,3,Concrete,cubic meters,pipe/valve,Liquid
6.0,9.0,23.0,82.0,38.0,46.36,1.9,6.5,92.0,0.95,cyclohexanone,3,NNE,cyclohexanone,Double storied,Urban or forest,Continue,1.9,23.0,0.95,88,Concrete,cubic meters,Hole,Liquid
3.0,6.0,19.0,87.0,25.0,54.5,10.0,5.2,11.0,2.59,cyclohexanone,3,NE,cyclohexanone,Single office,open country,Continue,10.0,19.0,2.59,0,Concrete,cubic meters,Hole,Liquid
4.0,2.0,30.0,87.0,35.0,40.69,5.1,8.5,63.0,1.56,cyclohexanone,3,ESE,cyclohexanone,Double storied,open country,Continue,5.1,30.0,1.56,7,Concrete,cubic meters,pipe/valve,Liquid
5.0,3.0,30.0,87.0,41.0,42.79,3.6,1.5,64.0,2.86,cyclohexanone,3,NE,cyclohexanone,Single office,open country,Instantaneous,3.6,30.0,2.86,23,Concrete,cubic meters,Hole,Liquid
3.0,5.0,26.0,84.0,46.0,97.6,5.3,3.6,65.0,1.15,cyclohexanone,3,ESE,cyclohexanone,Single office,open country,Continue,5.3,26.0,1.15,52,Concrete,cubic meters,Hole,Liquid
5.0,1.0,34.0,86.0,34.0,32.49,8.9,3.0,62.0,2.74,cyclohexanone,3,NNE,cyclohexanone,Enclosed office,Urban or forest,Continue,8.9,34.0,2.74,35,Concrete,cubic meters,pipe/valve,Liquid
4.0,1.0,20.0,86.0,52.0,5.81,4.9,5.0,15.0,0.84,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,4.9,20.0,0.84,5,Concrete,cubic meters,pipe/valve,Liquid
4.0,9.0,25.0,80.0,38.0,40.63,9.6,7.4,19.0,2.19,cyclohexanone,3,NNE,cyclohexanone,Single office,Urban or forest,Instantaneous,9.6,25.0,2.19,17,Concrete,cubic meters,pipe/valve,Liquid
4.0,9.0,31.0,82.0,2.0,70.59,2.5,7.2,67.0,2.7,cyclohexanone,3,NE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,2.5,31.0,2.7,27,Concrete,cubic meters,pipe/valve,Liquid
5.0,2.0,25.0,78.0,6.0,74.27,7.0,5.7,90.0,1.66,cyclohexanone,3,ESE,cyclohexanone,Single office,Urban or forest,Continue,7.0,25.0,1.66,50,Concrete,cubic meters,Hole,Liquid
5.0,5.0,30.0,82.0,48.0,41.3,2.5,6.7,39.0,1.04,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,2.5,30.0,1.04,19,Concrete,cubic meters,Hole,Liquid
6.0,9.0,20.0,86.0,25.0,73.16,1.0,2.2,40.0,2.92,cyclohexanone,3,ESE,cyclohexanone,Single office,Urban or forest,Continue,1.0,20.0,2.92,31,Concrete,cubic meters,Hole,Liquid
4.0,6.0,27.0,78.0,8.0,9.73,7.7,4.6,3.0,2.45,cyclohexanone,3,NNE,cyclohexanone,Single office,Urban or forest,Instantaneous,7.7,27.0,2.45,1,Concrete,cubic meters,Hole,Liquid
5.0,9.0,25.0,77.0,13.0,31.42,2.3,2.2,88.0,1.29,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,open country,Instantaneous,2.3,25.0,1.29,28,Concrete,cubic meters,Hole,Liquid
5.0,3.0,19.0,80.0,11.0,59.67,3.8,2.5,72.0,1.93,cyclohexanone,3,ESE,cyclohexanone,Single office,open country,Continue,3.8,19.0,1.93,52,Concrete,cubic meters,pipe/valve,Liquid
4.0,7.0,20.0,82.0,11.0,51.54,5.5,8.3,27.0,1.19,cyclohexanone,3,ENE,cyclohexanone,Single office,open country,Instantaneous,5.5,20.0,1.19,27,Concrete,cubic meters,pipe/valve,Liquid
4.0,6.0,35.0,84.0,21.0,94.02,7.7,2.2,60.0,0.8,cyclohexanone,3,NE,cyclohexanone,Double storied,open country,Instantaneous,7.7,35.0,0.8,22,Concrete,cubic meters,pipe/valve,Liquid
5.0,7.0,28.0,84.0,51.0,10.25,8.0,9.3,16.0,0.96,cyclohexanone,3,NE,cyclohexanone,Double storied,open country,Instantaneous,8.0,28.0,0.96,12,Concrete,cubic meters,Hole,Liquid
6.0,5.0,34.0,86.0,50.0,56.09,1.5,1.1,63.0,1.05,cyclohexanone,3,NNE,cyclohexanone,Single office,open country,Continue,1.5,34.0,1.05,3,Concrete,cubic meters,Hole,Liquid
3.0,5.0,18.0,87.0,43.0,97.88,9.5,0.7,62.0,2.18,cyclohexanone,3,NE,cyclohexanone,Double storied,open country,Continue,9.5,18.0,2.18,3,Concrete,cubic meters,Hole,Liquid
3.0,5.0,29.0,84.0,38.0,0.84,1.4,6.7,10.0,0.79,cyclohexanone,3,NE,cyclohexanone,Single office,Urban or forest,Continue,1.4,29.0,0.79,0,Concrete,cubic meters,pipe/valve,Liquid
4.0,3.0,19.0,81.0,15.0,68.94,8.7,5.1,96.0,1.16,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,Urban or forest,Continue,8.7,19.0,1.16,18,Concrete,cubic meters,pipe/valve,Liquid
6.0,4.0,29.0,78.0,10.0,82.47,2.9,1.8,74.0,2.96,cyclohexanone,3,ESE,cyclohexanone,Double storied,Urban or forest,Continue,2.9,29.0,2.96,61,Concrete,cubic meters,pipe/valve,Liquid
3.0,1.0,30.0,86.0,42.0,80.93,9.3,9.9,42.0,2.88,cyclohexanone,3,ESE,cyclohexanone,Double storied,Urban or forest,Continue,9.3,30.0,2.88,38,Concrete,cubic meters,Hole,Liquid
6.0,5.0,24.0,84.0,14.0,80.33,1.9,0.9,42.0,1.18,cyclohexanone,3,ESE,cyclohexanone,Single office,open country,Continue,1.9,24.0,1.18,0,Concrete,cubic meters,Hole,Liquid
3.0,5.0,26.0,83.0,44.0,25.82,2.8,2.3,40.0,2.4,cyclohexanone,3,NE,cyclohexanone,Enclosed office,Urban or forest,Continue,2.8,26.0,2.4,31,Concrete,cubic meters,pipe/valve,Liquid
4.0,8.0,21.0,83.0,16.0,26.86,8.6,7.0,7.0,2.78,cyclohexanone,3,NNE,cyclohexanone,Enclosed office,Urban or forest,Continue,8.6,21.0,2.78,2,Concrete,cubic meters,pipe/valve,Liquid
5.0,9.0,21.0,83.0,52.0,30.1,2.6,4.3,55.0,1.02,cyclohexanone,3,NNE,cyclohexanone,Double storied,open country,Continue,2.6,21.0,1.02,27,Concrete,cubic meters,pipe/valve,Liquid
5.0,8.0,20.0,79.0,1.0,78.12,3.8,1.4,21.0,1.67,cyclohexanone,3,NNE,cyclohexanone,Double storied,open country,Continue,3.8,20.0,1.67,13,Concrete,cubic meters,pipe/valve,Liquid
4.0,4.0,30.0,78.0,38.0,21.75,2.2,3.1,27.0,2.72,cyclohexanone,3,ENE,cyclohexanone,Double storied,Urban or forest,Instantaneous,2.2,30.0,2.72,0,Concrete,cubic meters,pipe/valve,Liquid
5.0,9.0,28.0,79.0,3.0,65.9,1.4,8.2,28.0,2.81,cyclohexanone,3,ENE,cyclohexanone,Double storied,open country,Continue,1.4,28.0,2.81,23,Concrete,cubic meters,pipe/valve,Liquid
5.0,3.0,27.0,79.0,15.0,14.25,7.6,6.4,60.0,2.64,cyclohexanone,3,NE,cyclohexanone,Single office,Urban or forest,Instantaneous,7.6,27.0,2.64,20,Concrete,cubic meters,pipe/valve,Liquid
4.0,3.0,18.0,80.0,44.0,17.87,4.6,3.2,46.0,2.14,cyclohexanone,3,NE,cyclohexanone,Double storied,Urban or forest,Continue,4.6,18.0,2.14,11,Concrete,cubic meters,Hole,Liquid
5.0,4.0,18.0,78.0,16.0,71.41,1.7,0.7,48.0,2.69,cyclohexanone,3,NE,cyclohexanone,Enclosed office,open country,Instantaneous,1.7,18.0,2.69,37,Concrete,cubic meters,pipe/valve,Liquid
4.0,8.0,32.0,85.0,54.0,32.92,9.4,2.8,91.0,0.89,cyclohexanone,3,NNE,cyclohexanone,Double storied,Urban or forest,Instantaneous,9.4,32.0,0.89,73,Concrete,cubic meters,pipe/valve,Liquid
5.0,6.0,32.0,82.0,50.0,26.64,7.6,9.6,57.0,1.38,cyclohexanone,3,ESE,cyclohexanone,Single office,open country,Instantaneous,7.6,32.0,1.38,47,Concrete,cubic meters,Hole,Liquid
3.0,3.0,19.0,84.0,3.0,24.45,4.3,1.1,96.0,1.9,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,4.3,19.0,1.9,61,Concrete,cubic meters,Hole,Liquid
5.0,1.0,32.0,83.0,7.0,37.92,5.0,4.2,2.0,2.33,cyclohexanone,3,NNE,cyclohexanone,Enclosed office,open country,Instantaneous,5.0,32.0,2.33,1,Concrete,cubic meters,pipe/valve,Liquid
3.0,0.0,25.0,85.0,24.0,79.92,9.8,9.4,31.0,2.75,cyclohexanone,3,ESE,cyclohexanone,Single office,open country,Continue,9.8,25.0,2.75,22,Concrete,cubic meters,pipe/valve,Liquid
4.0,2.0,28.0,82.0,35.0,72.08,5.4,5.7,69.0,2.78,cyclohexanone,3,NE,cyclohexanone,Single office,Urban or forest,Instantaneous,5.4,28.0,2.78,57,Concrete,cubic meters,pipe/valve,Liquid
5.0,4.0,28.0,78.0,29.0,70.94,7.2,3.3,81.0,2.12,cyclohexanone,3,ESE,cyclohexanone,Single office,open country,Continue,7.2,28.0,2.12,74,Concrete,cubic meters,pipe/valve,Liquid
4.0,1.0,30.0,87.0,30.0,34.04,6.0,8.3,23.0,3.0,cyclohexanone,3,ENE,cyclohexanone,Double storied,open country,Continue,6.0,30.0,3.0,1,Concrete,cubic meters,Hole,Liquid
5.0,7.0,25.0,84.0,57.0,84.43,4.9,3.1,11.0,2.46,cyclohexanone,3,NE,cyclohexanone,Double storied,Urban or forest,Instantaneous,4.9,25.0,2.46,8,Concrete,cubic meters,pipe/valve,Liquid
3.0,0.0,22.0,79.0,20.0,28.49,2.4,7.0,37.0,2.63,cyclohexanone,3,NE,cyclohexanone,Double storied,open country,Instantaneous,2.4,22.0,2.63,15,Concrete,cubic meters,pipe/valve,Liquid
4.0,10.0,28.0,85.0,27.0,86.52,6.0,9.6,26.0,2.02,cyclohexanone,3,ESE,cyclohexanone,Double storied,open country,Continue,6.0,28.0,2.02,21,Concrete,cubic meters,Hole,Liquid
4.0,6.0,33.0,87.0,36.0,29.05,7.5,1.5,12.0,1.3,cyclohexanone,3,ENE,cyclohexanone,Single office,Urban or forest,Instantaneous,7.5,33.0,1.3,1,Concrete,cubic meters,pipe/valve,Liquid
3.0,3.0,23.0,80.0,46.0,24.74,5.4,8.0,80.0,1.8,cyclohexanone,3,NE,cyclohexanone,Double storied,open country,Instantaneous,5.4,23.0,1.8,48,Concrete,cubic meters,Hole,Liquid
5.0,6.0,24.0,80.0,29.0,25.66,4.6,4.2,62.0,2.32,cyclohexanone,3,NNE,cyclohexanone,Single office,Urban or forest,Continue,4.6,24.0,2.32,34,Concrete,cubic meters,pipe/valve,Liquid
5.0,6.0,25.0,78.0,50.0,19.75,9.1,4.9,76.0,2.58,cyclohexanone,3,ESE,cyclohexanone,Double storied,Urban or forest,Continue,9.1,25.0,2.58,44,Concrete,cubic meters,Hole,Liquid
4.0,5.0,21.0,86.0,25.0,61.63,4.8,2.9,8.0,0.98,cyclohexanone,3,NNE,cyclohexanone,Single office,Urban or forest,Instantaneous,4.8,21.0,0.98,7,Concrete,cubic meters,Hole,Liquid
5.0,1.0,23.0,87.0,57.0,79.37,2.5,5.4,25.0,2.71,cyclohexanone,3,ENE,cyclohexanone,Double storied,Urban or forest,Continue,2.5,23.0,2.71,18,Concrete,cubic meters,pipe/valve,Liquid
6.0,4.0,21.0,84.0,2.0,13.99,9.5,4.8,66.0,2.28,cyclohexanone,3,NE,cyclohexanone,Enclosed office,open country,Continue,9.5,21.0,2.28,1,Concrete,cubic meters,pipe/valve,Liquid
4.0,6.0,31.0,86.0,29.0,20.63,7.8,5.3,30.0,2.85,cyclohexanone,3,NNE,cyclohexanone,Single office,open country,Continue,7.8,31.0,2.85,9,Concrete,cubic meters,Hole,Liquid
6.0,5.0,29.0,87.0,12.0,92.89,2.2,0.8,83.0,2.35,cyclohexanone,3,NE,cyclohexanone,Enclosed office,Urban or forest,Continue,2.2,29.0,2.35,18,Concrete,cubic meters,pipe/valve,Liquid
3.0,8.0,29.0,81.0,24.0,84.76,5.1,1.2,77.0,1.2,cyclohexanone,3,ENE,cyclohexanone,Double storied,Urban or forest,Continue,5.1,29.0,1.2,52,Concrete,cubic meters,Hole,Liquid
5.0,1.0,30.0,80.0,17.0,44.06,3.2,1.6,69.0,2.05,cyclohexanone,3,ENE,cyclohexanone,Enclosed office,open country,Instantaneous,3.2,30.0,2.05,59,Concrete,cubic meters,Hole,Liquid
3.0,1.0,27.0,85.0,45.0,23.15,4.7,9.7,85.0,1.18,cyclohexanone,3,NNE,cyclohexanone,Enclosed office,open country,Continue,4.7,27.0,1.18,78,Concrete,cubic meters,Hole,Liquid
6.0,4.0,31.0,78.0,49.0,97.04,5.6,1.7,68.0,2.15,cyclohexanone,3,NE,cyclohexanone,Double storied,open country,Continue,5.6,31.0,2.15,22,Concrete,cubic meters,Hole,Liquid
4.0,4.0,22.0,81.0,41.0,3.28,4.0,7.1,32.0,1.08,cyclohexanone,3,ENE,cyclohexanone,Double storied,open country,Continue,4.0,22.0,1.08,27,Concrete,cubic meters,Hole,Liquid
5.0,1.0,34.0,84.0,13.0,51.32,2.6,9.3,9.0,2.2,cyclohexanone,3,NE,cyclohexanone,Enclosed office,open country,Continue,2.6,34.0,2.2,3,Concrete,cubic meters,Hole,Liquid
3.0,8.0,21.0,81.0,11.0,25.15,5.0,8.1,39.0,2.37,cyclohexanone,3,NNE,cyclohexanone,Double storied,open country,Instantaneous,5.0,21.0,2.37,31,Concrete,cubic meters,Hole,Liquid
5.0,4.0,19.0,78.0,54.0,34.67,1.7,2.9,4.0,0.82,cyclohexanone,3,ESE,cyclohexanone,Single office,Urban or forest,Continue,1.7,19.0,0.82,0,Concrete,cubic meters,Hole,Liquid
3.0,8.0,31.0,85.0,43.0,38.75,6.7,1.2,51.0,2.25,cyclohexanone,3,NE,cyclohexanone,Double storied,open country,Instantaneous,6.7,31.0,2.25,50,Concrete,cubic meters,Hole,Liquid
6.0,4.0,28.0,79.0,29.0,45.97,2.7,9.8,52.0,1.26,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,2.7,28.0,1.26,7,Concrete,cubic meters,Hole,Liquid
4.0,3.0,19.0,83.0,55.0,37.5,7.4,6.2,69.0,1.32,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,open country,Continue,7.4,19.0,1.32,17,Concrete,cubic meters,Hole,Liquid
3.0,2.0,27.0,77.0,47.0,6.4,9.1,5.7,53.0,1.31,cyclohexanone,3,ESE,cyclohexanone,Single office,Urban or forest,Continue,9.1,27.0,1.31,6,Concrete,cubic meters,pipe/valve,Liquid
3.0,3.0,32.0,78.0,14.0,43.41,9.1,9.5,14.0,1.63,cyclohexanone,3,NNE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,9.1,32.0,1.63,7,Concrete,cubic meters,pipe/valve,Liquid
6.0,10.0,32.0,77.0,55.0,40.15,2.1,9.0,56.0,0.8,cyclohexanone,3,NE,cyclohexanone,Double storied,Urban or forest,Instantaneous,2.1,32.0,0.8,6,Concrete,cubic meters,Hole,Liquid
3.0,3.0,21.0,78.0,59.0,64.41,4.8,2.7,86.0,2.26,cyclohexanone,3,ENE,cyclohexanone,Double storied,open country,Instantaneous,4.8,21.0,2.26,72,Concrete,cubic meters,Hole,Liquid
4.0,1.0,32.0,77.0,22.0,5.5,2.8,4.7,46.0,2.66,cyclohexanone,3,NNE,cyclohexanone,Double storied,open country,Instantaneous,2.8,32.0,2.66,32,Concrete,cubic meters,Hole,Liquid
3.0,2.0,20.0,83.0,44.0,29.94,7.4,9.7,85.0,1.43,cyclohexanone,3,NE,cyclohexanone,Single office,open country,Continue,7.4,20.0,1.43,30,Concrete,cubic meters,Hole,Liquid
5.0,7.0,35.0,86.0,18.0,61.93,3.1,8.6,36.0,2.49,cyclohexanone,3,NNE,cyclohexanone,Single office,open country,Instantaneous,3.1,35.0,2.49,31,Concrete,cubic meters,pipe/valve,Liquid
4.0,5.0,19.0,84.0,30.0,95.6,1.5,2.6,8.0,0.85,cyclohexanone,3,ESE,cyclohexanone,Double storied,open country,Instantaneous,1.5,19.0,0.85,0,Concrete,cubic meters,pipe/valve,Liquid
5.0,1.0,21.0,81.0,60.0,17.08,9.0,7.6,64.0,1.84,cyclohexanone,3,NNE,cyclohexanone,Double storied,open country,Continue,9.0,21.0,1.84,4,Concrete,cubic meters,Hole,Liquid
4.0,9.0,26.0,86.0,23.0,82.78,8.8,3.5,82.0,1.48,cyclohexanone,3,NNE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,8.8,26.0,1.48,28,Concrete,cubic meters,pipe/valve,Liquid
4.0,9.0,20.0,78.0,28.0,10.86,9.6,4.9,78.0,2.72,cyclohexanone,3,ESE,cyclohexanone,Double storied,open country,Instantaneous,9.6,20.0,2.72,33,Concrete,cubic meters,Hole,Liquid
5.0,3.0,25.0,84.0,10.0,22.17,3.2,2.7,16.0,2.23,cyclohexanone,3,NNE,cyclohexanone,Double storied,Urban or forest,Instantaneous,3.2,25.0,2.23,3,Concrete,cubic meters,Hole,Liquid
5.0,3.0,23.0,79.0,60.0,98.59,1.7,6.1,77.0,2.73,cyclohexanone,3,NNE,cyclohexanone,Enclosed office,open country,Continue,1.7,23.0,2.73,75,Concrete,cubic meters,Hole,Liquid
5.0,8.0,29.0,81.0,58.0,59.25,6.6,7.3,42.0,2.68,cyclohexanone,3,ESE,cyclohexanone,Single office,open country,Instantaneous,6.6,29.0,2.68,30,Concrete,cubic meters,pipe/valve,Liquid
4.0,8.0,31.0,84.0,30.0,94.88,3.3,8.5,97.0,2.08,cyclohexanone,3,NE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,3.3,31.0,2.08,40,Concrete,cubic meters,pipe/valve,Liquid
4.0,10.0,21.0,82.0,22.0,67.49,2.2,2.9,74.0,0.88,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,Urban or forest,Continue,2.2,21.0,0.88,22,Concrete,cubic meters,pipe/valve,Liquid
6.0,6.0,34.0,78.0,27.0,45.27,6.1,8.4,11.0,2.37,cyclohexanone,3,ENE,cyclohexanone,Enclosed office,Urban or forest,Continue,6.1,34.0,2.37,1,Concrete,cubic meters,Hole,Liquid
3.0,7.0,30.0,86.0,38.0,58.66,9.5,5.5,33.0,1.54,cyclohexanone,3,ENE,cyclohexanone,Enclosed office,open country,Instantaneous,9.5,30.0,1.54,28,Concrete,cubic meters,pipe/valve,Liquid
4.0,2.0,33.0,82.0,34.0,50.24,2.7,2.0,71.0,1.12,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,open country,Continue,2.7,33.0,1.12,43,Concrete,cubic meters,Hole,Liquid
5.0,5.0,31.0,85.0,20.0,15.44,1.4,0.6,32.0,2.06,cyclohexanone,3,ENE,cyclohexanone,Single office,Urban or forest,Instantaneous,1.4,31.0,2.06,18,Concrete,cubic meters,pipe/valve,Liquid
6.0,7.0,20.0,82.0,31.0,63.41,0.8,4.7,24.0,1.34,cyclohexanone,3,NE,cyclohexanone,Double storied,Urban or forest,Instantaneous,0.8,20.0,1.34,4,Concrete,cubic meters,pipe/valve,Liquid
6.0,6.0,26.0,80.0,18.0,80.13,6.7,8.7,6.0,1.59,cyclohexanone,3,NE,cyclohexanone,Double storied,Urban or forest,Continue,6.7,26.0,1.59,3,Concrete,cubic meters,Hole,Liquid
5.0,0.0,23.0,85.0,32.0,23.82,6.8,9.3,18.0,2.04,cyclohexanone,3,ENE,cyclohexanone,Enclosed office,open country,Continue,6.8,23.0,2.04,10,Concrete,cubic meters,Hole,Liquid
5.0,4.0,20.0,83.0,20.0,11.22,2.9,3.9,81.0,2.9,cyclohexanone,3,ENE,cyclohexanone,Double storied,open country,Instantaneous,2.9,20.0,2.9,1,Concrete,cubic meters,Hole,Liquid
5.0,2.0,19.0,85.0,59.0,53.59,6.0,6.0,14.0,1.44,cyclohexanone,3,ENE,cyclohexanone,Single office,open country,Continue,6.0,19.0,1.44,13,Concrete,cubic meters,pipe/valve,Liquid
4.0,6.0,20.0,85.0,54.0,52.07,5.3,7.6,91.0,1.59,cyclohexanone,3,ENE,cyclohexanone,Enclosed office,open country,Instantaneous,5.3,20.0,1.59,87,Concrete,cubic meters,Hole,Liquid
